About,Informazioni,
Answer,Risposta,
Content,Contenuto,
Context,Contesto,
Course,Corso,
Course Creator,Creatore di corsi,
Description,Descrizione,
Duration,Durata,
Enabled,Abilitato,
Failed,Non superato,
Frappe Support,Supporto Frappe,
Keyboard Shortcuts,Scorciatoie Tastiera,
Lesson,Lezione,
Member,Membro,
Moderator,Moderatore,
Pending,In sospeso,
Programs,Programmi,
Question,Domanda,
Status,Stato,
System Health,Stato Sistema,
System Manager,Amministratore Sistema,
Welcome Video,Video di Benvenuto,
Enable Welcome Video,Attiva Video di Benvenuto,
Welcome Video Title,Titolo Video di Benvenuto,
Welcome Video File,File Video di Benvenuto,
Configura il video di benvenuto mostrato agli studenti al primo login,Configura il video di benvenuto mostrato agli studenti al primo login,
"Se attivo, mostra il video di benvenuto agli studenti la prima volta che accedono.","Se attivo, mostra il video di benvenuto agli studenti la prima volta che accedono.",
Titolo mostrato sull'hero video nella home dello studente.,Titolo mostrato sull'hero video nella home dello studente.,
"Scegli il file video da mostrare fra quelli caricati (es. .mp4, .webm).","Scegli il file video da mostrare fra quelli caricati (es. .mp4, .webm).",
Cerca o scegli un file...,Cerca o scegli un file...,
Benvenuto nella piattaforma,Benvenuto nella piattaforma,
Un breve video per iniziare. Buona visione!,Un breve video per iniziare. Buona visione!,
Chiudi,Chiudi,
Manager,Gestore,
Teacher,Docente,
"Manage users, batches, and operational settings","Gestisce utenti, classi e impostazioni operative",
Teach courses and manage assigned batches,Tiene corsi e gestisce le classi assegnate,
No {0} Found,Nessun risultato per {0},
Add one to get started.,Aggiungine uno per iniziare.,
"There are no {0} currently. Keep an eye out, fresh learning experiences are on the way!","Nessun risultato per {0}. Torna a controllare, nuovi contenuti in arrivo!",
Google Meet Settings,Impostazioni Google Meet,
Payment Gateways,Gateway di pagamento,
Zoom Settings,Impostazioni Zoom,
Export,Esporta,
Import,Importa,
Actions,Azioni,
Import Failed,Importazione non riuscita,
The selected file is not valid JSON.,Il file selezionato non è un JSON valido.,
The file does not contain any brand settings.,Il file non contiene impostazioni del brand.,
No matching brand settings were found in the file.,Nessuna impostazione del brand corrispondente trovata nel file.,
This will overwrite the current brand settings with {0} value(s) from the file. Continue?,Questo sovrascriverà le impostazioni del brand attuali con {0} valore/i dal file. Continuare?,
Imported {0} setting(s). Review and Save to apply.,Importate {0} impostazione/i. Controlla e salva per applicare.,
Ignored unknown field(s): {0},Campo/i sconosciuto/i ignorato/i: {0},
Import Complete,Importazione completata,
Reset Colors,Resetta i colori,
Clear value,Rimuovi valore,
This will clear all {0} colors. Continue?,Questo rimuoverà tutti i {0} colori. Continuare?,
Colors cleared. Save to apply.,Colori rimossi. Salva per applicare.,
Row {0}: column {1} is empty.,Riga {0}: la colonna {1} è vuota.,
Missing column: {0},Colonna mancante: {0},
Row {0}: {1} is already enrolled in {2}.,Riga {0}: {1} è già iscritto a {2}.,
Row {0}: {1} is not a valid Codice Fiscale.,Riga {0}: {1} non è un codice fiscale valido.,
Row {0}: {1} already has a different Codice Fiscale ({2}).,Riga {0}: {1} ha già un codice fiscale diverso ({2}).,
Row {0}: Codice Fiscale {1} already belongs to {2}.,Riga {0}: il codice fiscale {1} appartiene già a {2}.,
Nothing to import: every row of the file was skipped.,Niente da importare: tutte le righe del file sono state saltate.,
{0} row(s) were skipped.,{0} riga/righe sono state saltate.,
... and {0} more.,... e altre {0}.,
Skipped Rows,Righe saltate,
"Google Sheets is not supported for this import. Upload a .csv, .xlsx or .xls file.","Fogli Google non è supportato per questa importazione. Carica un file .csv, .xlsx o .xls.",
"Import file should be of type .csv, .xlsx or .xls","Il file da importare deve essere di tipo .csv, .xlsx o .xls",
The import file is empty.,Il file da importare è vuoto.,
"Drag and drop a CSV or Excel file, or upload from your","Trascina qui un file CSV o Excel, oppure caricalo dal tuo",
"Please upload a .csv, .xlsx or .xls file.","Carica un file .csv, .xlsx o .xls.",
Reset Mapping,Reimposta la mappatura,
Select field,Seleziona un campo,
"{0} row(s) imported successfully, {1} failed.","{0} riga/righe importate correttamente, {1} non riuscite.",
Importing {0},Importazione di {0},
